"","geoID","pop","cases","deaths"
"1097",19017,25062,459,7
"1098",19019,21175,230,1
"1099",19021,19620,1935,12
"1100",19023,14439,257,2
"1101",19025,9668,167,2
"1102",19027,20165,627,5
"1103",19029,12836,128,2
"1104",19031,18627,217,1
"1105",19033,42450,986,21
"1106",19035,11235,180,2
"1107",19037,11933,203,0
"1108",19039,9395,254,3
"1109",19041,16016,280,3
"1110",19043,17549,228,3
"1111",19045,46429,1050,18
"1112",19047,16820,985,4
"1113",19049,93453,2665,38
"1114",19051,9000,113,4
"1115",19053,7870,58,0
"1116",19055,17011,319,3
"1117",19057,38967,734,7
"1118",19059,17258,480,6
"1119",19061,97311,2687,40
"1120",19063,9208,250,10
"1121",19065,19650,180,1
"1122",19067,15642,291,3
"1123",19069,10070,331,17
"1124",19071,6960,80,0
"1125",19073,8888,83,0
"1126",19075,12232,201,2
"1127",19077,10689,213,5
"1128",19079,14773,314,3
"1129",19081,10630,171,2
"1130",19083,16846,273,1
"1131",19085,14049,169,2
"1132",19087,19954,597,4
"1133",19089,9158,180,5
"1134",19091,9558,170,3
"1135",19093,6860,86,0
"1136",19095,16184,179,1
"1137",19097,19439,295,3
"1138",19099,37185,748,32
"1139",19101,18295,132,1
"1140",19103,151140,4967,27
"1141",19105,20681,239,3
"1142",19107,10246,89,1
"1143",19109,14813,211,0
"1144",19111,33657,588,7
"1145",19113,226706,3726,105
"1146",19115,11035,421,15
"1147",19117,8600,138,6
"1148",19119,11755,233,3
"1149",19121,16338,200,2
"1150",19123,22095,330,19
"1151",19125,33253,702,4
"1152",19127,39369,1758,34
"1153",19129,15109,164,1
"1154",19131,10586,175,0
"1155",19133,8615,130,1
"1156",19135,7707,144,10
"1157",19137,9917,85,5
"1158",19139,42664,1057,52
"1159",19141,13753,292,9
"1160",19143,5958,122,0
"1161",19145,15107,142,0
"1162",19147,8886,156,0
"1163",19149,25177,1019,20
"1164",19151,6619,150,2
"1165",19153,490161,15162,256
"1166",19155,93206,1953,37
"1167",19157,18504,239,8
"1168",19159,4894,41,2
"1169",19161,9721,203,0
"1170",19163,172943,2726,27
"1171",19165,11454,241,1
"1172",19167,34855,1295,3
"1173",19169,97117,3265,17
"1174",19171,16854,685,31
"1175",19173,6121,119,1
"1176",19175,12241,120,3
"1177",19177,7044,109,1
"1178",19179,34969,1243,57
"1179",19181,51466,925,6
"1180",19183,21965,429,11
"1181",19185,6441,79,2
"1182",19187,35904,1185,14
"1183",19189,10354,265,11
"1184",19191,19991,283,5
"1185",19193,103107,4906,61
"1186",19195,7381,101,0
"1187",19197,12562,557,1
"1188",20001,12369,42,0
"1189",20003,7858,60,0
"1190",20005,16073,254,1
"1191",20007,4427,5,0
"1192",20009,25779,427,5
"1193",20011,14534,145,2
"1194",20013,9564,91,3
"1195",20015,66911,861,3
"1196",20017,2648,78,1
"1197",20019,3250,16,0
"1198",20021,19939,433,8
"1199",20023,2657,24,0
"1200",20025,1994,50,1
"1201",20027,8002,43,2
"1202",20029,8786,64,1
"1203",20031,8179,109,8
"1204",20033,1700,10,0
"1205",20035,34908,327,3
"1206",20037,38818,948,6
"1207",20039,2827,9,0
"1208",20041,18466,104,1
"1209",20043,7600,91,0
"1210",20045,122259,1996,10
"1211",20047,2798,44,0
"1212",20049,2530,4,0
"1213",20051,28553,796,3
"1214",20053,6102,26,0
"1215",20055,36467,1893,12
"1216",20057,33619,2627,10
"1217",20059,25544,301,3
"1218",20061,31670,388,2
"1219",20063,2636,24,0
"1220",20065,2482,30,1
"1221",20067,7150,180,3
"1222",20069,5988,105,0
"1223",20071,1232,6,0
"1224",20073,5982,44,0
"1225",20075,2539,44,0
"1226",20077,5436,119,2
"1227",20079,34429,335,5
"1228",20081,3968,83,0
"1229",20083,1794,18,0
"1230",20085,13171,231,1
"1231",20087,19043,171,2
"1232",20089,2879,15,1
"1233",20091,602401,10178,141
"1234",20093,3838,81,1
"1235",20095,7152,69,0
"1236",20097,2475,19,0
"1237",20099,19618,226,3
"1238",20101,1535,12,0
"1239",20103,81758,1924,10
"1240",20105,2962,12,0
"1241",20107,9703,70,0
"1242",20109,2794,8,0
"1243",20111,33195,1012,27
"1244",20113,28542,252,1
"1245",20115,11884,86,1
"1246",20117,9707,19,0
"1247",20119,4033,103,1
"1248",20121,34237,327,1
"1249",20123,5979,43,0
"1250",20125,31829,335,5
"1251",20127,5620,29,0
"1252",20129,2587,13,2
"1253",20131,10231,81,1
"1254",20133,16007,131,0
"1255",20135,2750,62,1
"1256",20137,5361,28,0
"1257",20139,15949,92,0
"1258",20141,3421,6,0
"1259",20143,5704,48,0
"1260",20145,6414,312,0
"1261",20147,5234,86,8
"1262",20149,24383,209,0
"1263",20151,9164,64,0
"1264",20153,2530,10,0
"1265",20155,61998,981,3
"1266",20157,4636,42,1
"1267",20159,9537,66,1
"1268",20161,74232,1262,8
"1269",20163,4920,50,0
"1270",20165,3036,43,0
"1271",20167,6856,62,0
"1272",20169,54224,632,9
"1273",20171,4823,91,1
"1274",20173,516042,8270,81
"1275",20175,21428,1552,5
"1276",20177,176875,2563,27
"1277",20179,2521,12,0
"1278",20181,5917,24,0
"1279",20183,3583,5,0
"1280",20185,4156,51,1
"1281",20187,2006,49,2
"1282",20189,5485,97,0
"1283",20191,22836,171,3
"1284",20193,7777,97,0
"1285",20195,2803,30,1
"1286",20197,6931,66,1
"1287",20199,1518,16,0
"1288",20201,5406,15,0
"1289",20203,2119,5,0
"1290",20205,8525,58,0
"1291",20207,3138,17,0
"1292",20209,165429,6739,133
"1293",21001,19202,294,19
"1294",21003,21315,300,9
"1295",21005,22747,143,1
"1296",21007,7888,52,1
"1297",21009,44249,637,13
"1298",21011,12500,79,1
"1299",21013,26032,470,12
"1300",21015,133581,1496,25
"1301",21017,19788,166,1
"1302",21019,46718,390,5
"1303",21021,30060,250,0
"1304",21023,8303,39,0
"1305",21025,12630,82,0
"1306",21027,20477,124,2
"1307",21029,81676,804,9
"1308",21031,12879,333,16
"1309",21033,12747,137,0
"1310",21035,39001,517,8
"1311",21037,93584,825,16
"1312",21039,4760,74,1
"1313",21041,10631,195,5
"1314",21043,26797,155,3
"1315",21045,16159,266,15
"1316",21047,70461,1107,18
"1317",21049,36263,298,8
"1318",21051,19901,289,6
"1319",21053,10218,101,2
"1320",21055,8806,118,1
"1321",21057,6614,97,0
"1322",21059,101511,1266,14
"1323",21061,12150,130,12
"1324",21063,7517,35,0
"1325",21065,14106,125,0
"1326",21067,323152,5378,68
"1327",21069,14581,82,0
"1328",21071,35589,170,2
"1329",21073,50991,594,11
"1330",21075,5969,139,2
"1331",21077,8869,96,8
"1332",21079,17666,147,3
"1333",21081,25069,153,6
"1334",21083,37266,707,29
"1335",21085,26427,364,13
"1336",21087,10941,250,8
"1337",21089,35098,352,4
"1338",21091,8722,73,0
"1339",21093,110958,1197,10
"1340",21095,26010,366,10
"1341",21097,18886,167,0
"1342",21099,19035,162,1
"1343",21101,45210,648,3
"1344",21103,16126,186,2
"1345",21105,4380,74,0
"1346",21107,44686,594,39
"1347",21109,13329,343,17
"1348",21111,766757,14424,296
"1349",21113,54115,571,0
"1350",21115,22188,145,1
"1351",21117,166998,1939,45
"1352",21119,14806,139,1
"1353",21121,31145,440,9
"1354",21123,14398,112,1
"1355",21125,60813,761,6
"1356",21127,15317,54,0
"1357",21129,7403,18,0
